Date;Region;Value
2020-12-01;Voronezh Oblast;56720
2020-12-01;Zabaykalsky Krai;83193
2020-12-01;Ivanovo Oblast;50530
2020-12-01;Irkutsk Oblast;80846
2020-12-01;Kaliningrad Oblast;89025
2020-12-01;Kaluga Oblast;70694
2020-12-01;Kemerovo Oblast;56000
2020-12-01;Kirov Oblast;51040
2020-12-01;Kostroma Oblast;56097
2020-12-01;Krasnodar Krai;65813
2020-12-01;Krasnoyarsk Krai;68865
2020-12-01;Kurgan Oblast;64342
2020-12-01;Kursk Oblast;57480
2020-12-01;Leningrad Oblast;106240
2020-12-01;Lipetsk Oblast;54250
2020-12-01;Republic of Mordovia;50609
2020-12-01;Moscow;245683
2020-12-01;Moscow Oblast;126737
2020-12-01;Nizhny Novgorod Oblast;88177
2020-12-01;Novgorod Oblast;49898
2020-12-01;Novosibirsk Oblast;81559
2020-12-01;Omsk Oblast;72370
2020-12-01;Orenburg Oblast;44500
2020-12-01;Oryol Oblast;49200
2020-12-01;Penza Oblast;60935
2020-12-01;Perm Krai;78109
2020-12-01;Primorsky Krai;119619
2020-12-01;Pskov Oblast;46631
2020-12-01;Republic of Bashkortostan;78846
2020-12-01;Republic of Buryatia;0
2020-12-01;Republic of Dagestan;0
2020-12-01;Republic of Karelia;67666
2020-12-01;Komi Republic;64122
2020-12-01;Mari El Republic;49987
2020-12-01;Republic of Sakha (Yakutia);111288
2020-12-01;Republic of North Ossetia–Alania;0
2020-12-01;Republic of Tatarstan;99818
2020-12-01;Republic of Khakassia;73000
2020-12-01;Rostov Oblast;58241
2020-12-01;Ryazan Oblast;57637
2020-12-01;Samara Oblast;55208
2020-12-01;City of Saint Petersburg;163573
2020-12-01;Saratov Oblast;44166
2020-12-01;Sakhalin Oblast;138636
2020-12-01;Sverdlovsk Oblast;86247
2020-12-01;Smolensk Oblast;58463
2020-12-01;Stavropol Krai;42180
2020-12-01;Tambov Oblast;67875
2020-12-01;Tver Oblast;52282
2020-12-01;Tomsk Oblast;0
2020-12-01;Tula Oblast;69227
2020-12-01;Tyumen Oblast;83808
2020-12-01;Udmurt Republic;68537
2020-12-01;Ulyanovsk Oblast;52235
2020-12-01;Khabarovsk Krai;95733
2020-12-01;Khanty-Mansi Autonomous Okrug–Yugra;83042
2020-12-01;Chelyabinsk Oblast;55834
2020-12-01;Chuvash Republic — Chuvashia;51132
2020-12-01;Yamalo-Nenets Autonomous Okrug;117668
2020-12-01;Yaroslavl Oblast;53918
2021-01-01;Russia;87312
2021-01-01;Republic of Adygea;51771
2021-01-01;Altai Republic;53000
2021-01-01;Altai Krai;62500
2021-01-01;Amur Oblast;0
2021-01-01;Arkhangelsk Oblast;81000
2021-01-01;Astrakhan Oblast;58000
2021-01-01;Belgorod Oblast;58000
2021-01-01;Bryansk Oblast;54000
2021-01-01;Vladimir Oblast;50500
2021-01-01;Volgograd Oblast;48833
2021-01-01;Vologda Oblast;54852
2021-01-01;Voronezh Oblast;55281
2021-01-01;Zabaykalsky Krai;85000
2021-01-01;Ivanovo Oblast;63500
2021-01-01;Irkutsk Oblast;78710
2021-01-01;Kaliningrad Oblast;93000
2021-01-01;Kaluga Oblast;62275
2021-01-01;Kemerovo Oblast;57353
2021-01-01;Kirov Oblast;58050
2021-01-01;Kostroma Oblast;64634
2021-01-01;Krasnodar Krai;70000
2021-01-01;Krasnoyarsk Krai;89064
2021-01-01;Kurgan Oblast;0
2021-01-01;Kursk Oblast;58000
2021-01-01;Leningrad Oblast;104229
2021-01-01;Lipetsk Oblast;48002
2021-01-01;Republic of Mordovia;52688
2021-01-01;Moscow;249054
2021-01-01;Moscow Oblast;136590
2021-01-01;Nizhny Novgorod Oblast;94706
2021-01-01;Novgorod Oblast;61794
2021-01-01;Novosibirsk Oblast;80617
2021-01-01;Omsk Oblast;57929
2021-01-01;Orenburg Oblast;43444
2021-01-01;Oryol Oblast;54752
2021-01-01;Penza Oblast;50000
2021-01-01;Perm Krai;67952
2021-01-01;Primorsky Krai;116687
2021-01-01;Pskov Oblast;43736
2021-01-01;Republic of Bashkortostan;75000
2021-01-01;Republic of Buryatia;50750
2021-01-01;Republic of Dagestan;56266
2021-01-01;Republic of Karelia;78416
2021-01-01;Komi Republic;67627
2021-01-01;Mari El Republic;51902
2021-01-01;Republic of Sakha (Yakutia);105000
2021-01-01;Republic of North Ossetia–Alania;42000
2021-01-01;Republic of Tatarstan;96755
2021-01-01;Republic of Khakassia;68667
2021-01-01;Rostov Oblast;66000
2021-01-01;Ryazan Oblast;56817
2021-01-01;Samara Oblast;49894
2021-01-01;City of Saint Petersburg;165559
2021-01-01;Saratov Oblast;43976
2021-01-01;Sakhalin Oblast;0
2021-01-01;Sverdlovsk Oblast;82930
2021-01-01;Smolensk Oblast;61648
2021-01-01;Stavropol Krai;46176
2021-01-01;Tambov Oblast;43000
2021-01-01;Tver Oblast;54931
2021-01-01;Tomsk Oblast;79300
2021-01-01;Tula Oblast;65592
2021-01-01;Tyumen Oblast;79262
2021-01-01;Udmurt Republic;68106
2021-01-01;Ulyanovsk Oblast;53308
2021-01-01;Khabarovsk Krai;132855
2021-01-01;Khanty-Mansi Autonomous Okrug–Yugra;86856
2021-01-01;Chelyabinsk Oblast;58898
