Дата;Регион;Значение
2019-04-01;Москва;186842
2019-04-01;Московская область;87475
2019-04-01;Мурманская область;48673
2019-04-01;Ненецкий АО;67682
2019-04-01;Нижегородская область;55556
2019-04-01;Новгородская область;39378
2019-04-01;Новосибирская область;69048
2019-04-01;Омская область;43953
2019-04-01;Оренбургская область;43538
2019-04-01;Орловская область;42686
2019-04-01;Пензенская область;45578
2019-04-01;Пермский край;45780
2019-04-01;Приморский край;72449
2019-04-01;Псковская область;38040
2019-04-01;Республика Башкортостан;48799
2019-04-01;Республика Бурятия;50538
2019-04-01;Республика Дагестан;39583
2019-04-01;Республика Калмыкия;33164
2019-04-01;Республика Карачаево-Черкессия;47596
2019-04-01;Республика Карелия;44730
2019-04-01;Республика Коми;50562
2019-04-01;Республика Марий Эл;35982
2019-04-01;Республика Саха (Якутия);75000
2019-04-01;Республика Северная Осетия-Алания;44776
2019-04-01;Республика Татарстан;70237
2019-04-01;Республика Тыва;66775
2019-04-01;Республика Хакасия;47619
2019-04-01;Ростовская область;55060
2019-04-01;Рязанская область;42698
2019-04-01;Самарская область;49406
2019-04-01;Санкт-Петербург;114865
2019-04-01;Саратовская область;38750
2019-04-01;Сахалинская область;110000
2019-04-01;Свердловская область;55292
2019-04-01;Смоленская область;39725
2019-04-01;Ставропольский край;44462
2019-04-01;Тамбовская область;41571
2019-04-01;Тверская область;47141
2019-04-01;Томская область;54545
2019-04-01;Тульская область;59807
2019-04-01;Тюменская область;62894
2019-04-01;Удмуртская Республика;47073
2019-04-01;Ульяновская область;39108
2019-04-01;Хабаровский край;58085
2019-04-01;Ханты-Мансийский АО - Югра;73949
2019-04-01;Челябинская область;35417
2019-04-01;Чеченская Республика;38358
2019-04-01;Чувашская Республика;44016
2019-04-01;Чукотский АО;90164
2019-04-01;Ямало-Ненецкий АО;75758
2019-04-01;Ярославская область;47000
2019-05-01;Россия;58566
2019-05-01;Адыгея;40541
2019-05-01;Алтай;47071
2019-05-01;Алтайский край;47923
2019-05-01;Амурская область;69291
2019-05-01;Архангельская область;52000
2019-05-01;Астраханская область;39238
2019-05-01;Белгородская область;49206
2019-05-01;Брянская область;36062
2019-05-01;Владимирская область;38500
2019-05-01;Волгоградская область;45032
2019-05-01;Вологодская область;42000
2019-05-01;Воронежская область;47561
2019-05-01;Еврейская автономная область;37951
2019-05-01;Забайкальский край;50345
2019-05-01;Ивановская область;40698
2019-05-01;Иркутская область;44531
2019-05-01;Кабардино-Балкарская Республика;45161
2019-05-01;Калининградская область;56474
2019-05-01;Калужская область;56000
2019-05-01;Камчатский край;60412
2019-05-01;Кемеровская область;43651
2019-05-01;Кировская область;41071
2019-05-01;Костромская область;44531
2019-05-01;Краснодарский край;61263
2019-05-01;Красноярский край;58333
2019-05-01;Курганская область;35462
2019-05-01;Курская область;42813
2019-05-01;Ленинградская область;72227
2019-05-01;Липецкая область;45556
2019-05-01;Магаданская область;51786
2019-05-01;Мордовия;42354
2019-05-01;Москва;186441
2019-05-01;Московская область;90909
2019-05-01;Мурманская область;48222
2019-05-01;Ненецкий АО;63593
2019-05-01;Нижегородская область;63172
2019-05-01;Новгородская область;41526
2019-05-01;Новосибирская область;65182
2019-05-01;Омская область;42616
2019-05-01;Оренбургская область;42696
2019-05-01;Орловская область;42593
2019-05-01;Пензенская область;45588
2019-05-01;Пермский край;47076
2019-05-01;Приморский край;98785
2019-05-01;Псковская область;37880
2019-05-01;Республика Башкортостан;49000
2019-05-01;Республика Бурятия;51025
2019-05-01;Республика Дагестан;45588
2019-05-01;Республика Калмыкия;32813
2019-05-01;Республика Карачаево-Черкессия;48991
2019-05-01;Республика Карелия;43417
2019-05-01;Республика Коми;50350
2019-05-01;Республика Марий Эл;37118
2019-05-01;Республика Саха (Якутия);79044
2019-05-01;Республика Северная Осетия-Алания;39286
2019-05-01;Республика Татарстан;73569
2019-05-01;Республика Тыва;68972
2019-05-01;Республика Хакасия;48786
2019-05-01;Ростовская область;53846
2019-05-01;Рязанская область;43939
2019-05-01;Самарская область;44118
2019-05-01;Санкт-Петербург;114583
2019-05-01;Саратовская область;39286
2019-05-01;Сахалинская область;111111
2019-05-01;Свердловская область;63333
2019-05-01;Смоленская область;40777
2019-05-01;Ставропольский край;45238
2019-05-01;Тамбовская область;41667
2019-05-01;Тверская область;50394
2019-05-01;Томская область;54608
2019-05-01;Тульская область;58050
2019-05-01;Тюменская область;63750
2019-05-01;Удмуртская Республика;48866
2019-05-01;Ульяновская область;36863
2019-05-01;Хабаровский край;50703
2019-05-01;Ханты-Мансийский АО - Югра;73883
2019-05-01;Челябинская область;36446
2019-05-01;Чеченская Республика;44828
2019-05-01;Чувашская Республика;42974
2019-05-01;Чукотский АО;86505
2019-05-01;Ямало-Ненецкий АО;77500
2019-05-01;Ярославская область;47000
2019-06-01;Россия;58485
2019-06-01;Адыгея;42675
2019-06-01;Алтай;42072
2019-06-01;Алтайский край;46703
2019-06-01;Амурская область;68687
2019-06-01;Архангельская область;56489
2019-06-01;Астраханская область;38716
2019-06-01;Белгородская область;52639
2019-06-01;Брянская область;35114
2019-06-01;Владимирская область;37000
2019-06-01;Волгоградская область;44545
2019-06-01;Вологодская область;43000
2019-06-01;Воронежская область;47222
2019-06-01;Еврейская автономная область;38708
2019-06-01;Забайкальский край;50000
2019-06-01;Ивановская область;41587
2019-06-01;Иркутская область;58333
2019-06-01;Кабардино-Балкарская Республика;37500
2019-06-01;Калининградская область;55000
2019-06-01;Калужская область;56854
2019-06-01;Камчатский край;59803
2019-06-01;Кемеровская область;44118
2019-06-01;Кировская область;41232
2019-06-01;Костромская область;44444
2019-06-01;Краснодарский край;69444
2019-06-01;Красноярский край;54688
2019-06-01;Курганская область;34314
2019-06-01;Курская область;43200
2019-06-01;Ленинградская область;86364
2019-06-01;Липецкая область;44686
2019-06-01;Магаданская область;49057
2019-06-01;Мордовия;46193
2019-06-01;Москва;181818
2019-06-01;Московская область;94650
2019-06-01;Мурманская область;47530
2019-06-01;Нижегородская область;59014
2019-06-01;Новгородская область;41186
2019-06-01;Новосибирская область;63514
2019-06-01;Омская область;43548
2019-06-01;Оренбургская область;43508
2019-06-01;Орловская область;42883
2019-06-01;Пензенская область;45952
2019-06-01;Пермский край;44733
2019-06-01;Приморский край;102247
2019-06-01;Псковская область;38489
2019-06-01;Республика Башкортостан;47761
2019-06-01;Республика Бурятия;51027
2019-06-01;Республика Дагестан;45000
2019-06-01;Республика Калмыкия;30669
2019-06-01;Республика Карачаево-Черкессия;45789
2019-06-01;Республика Карелия;47149
2019-06-01;Республика Коми;50000
2019-06-01;Республика Марий Эл;37097
2019-06-01;Республика Саха (Якутия);83333
2019-06-01;Республика Северная Осетия-Алания;43074
2019-06-01;Республика Татарстан;72619
2019-06-01;Республика Тыва;59113
2019-06-01;Республика Хакасия;46813
2019-06-01;Ростовская область;53125
2019-06-01;Рязанская область;43498
2019-06-01;Самарская область;46644
